가게 이름,카테고리,가게 주소
고기굽는교실,"육류,고기요리",경기 수원시 권선구 일월천로4번길 46 연안빌딩 1층
화이트리에 천천지구점,베이커리,경기 수원시 장안구 덕영대로535번길 28 1층 109호
롯데리아 수원성대,햄버거,경기 수원시 장안구 서부로 2119 농협
스시하루 화서역점,"초밥,롤",경기 수원시 장안구 수성로157번길 60 1층 123호
본찌돈까스 성대점,돈가스,경기 수원시 장안구 서부로2106번길 22
피자헛 천천점,피자,경기 수원시 장안구 정자천로13번길 41-3 (천천동 325-19)
정성식탁,이탈리아음식,경기 수원시 장안구 서부로2136번길 9 1층 정성식탁
쌩메구로 성균관대역점,"맥주,호프",경기 수원시 장안구 화산로233번길 42 1층
일월수목원 카페 데이지원,"카페,디저트",경기 수원시 장안구 일월로 61 방문자센터 일월수목원 1층 일월수목원 카페 데이지원
인성한식부페,뷔페,경기 수원시 팔달구 수성로157번길 49-8
최고집 원조 수구레,한식,경기 수원시 장안구 서부로 2107 1층 최고집 원조 수구레
주량 성대직영점,요리주점,경기 수원시 장안구 서부로2105번길 26-8 101호
통큰어부,생선회,경기 수원시 장안구 화산로233번길 42 2층
기똥찬고기,"육류,고기요리",경기 수원시 장안구 서부로2123번길 16 기똥찬고기
청년밥상,한식,경기 수원시 장안구 서부로2136번길 10 1층 청년밥상
밀숲 수원성대점,"칼국수,만두",경기 수원시 장안구 율전로98번길 18-12 1층
버거킹 서수원이마트점,햄버거,경기 수원시 권선구 수인로 291 서수원버스터미널
천년풍천장어,"장어,먹장어요리",경기 수원시 권선구 수인로 273
일성 율전동본점,이자카야,경기 수원시 장안구 율전로 92 1층 105호
김밥천국 천천점,분식,경기 수원시 장안구 만석로19번길 11-2
수성복국,복어요리,경기 수원시 권선구 수인로 344-9
팔당냉면 수원정자점,냉면,경기 수원시 장안구 대평로 140 2층
초초이,베이커리,경기 수원시 장안구 정자로20번길 24-13 1층
메가MGC커피 수원율현점,카페,경기 수원시 팔달구 일월로22번길 11 1층 메가MGC커피
메가MGC커피 수원성균관대점,카페,경기 수원시 장안구 서부로 2125 율전빌딩 1층
하우짓블랙,"카페,디저트",경기 수원시 장안구 화산로213번길 25 2층 하우짓 블랙
드럼통돌구이,닭갈비,경기 수원시 장안구 율전로108번길 9
육회바른연어 수원성대점,요리주점,경기 수원시 장안구 서부로2126번길 24
BHC치킨 성대푸르지오점,"치킨,닭강정",경기 수원시 장안구 일월로66번길 24 1층
롯데리아 롯데마트수원천천,햄버거,경기 수원시 장안구 만석로19번길 25-10 롯데마트 수원천천점 1층
우리소양평해장국,감자탕,경기 수원시 장안구 서부로 2179
채상궁 수원본점,샤브샤브,경기 수원시 팔달구 수성로157번길 5-7 1층
쌉니다 미소마트,요리주점,경기 수원시 팔달구 화산로6번길 15-1 1층
지장수본가전주콩나물국밥 2호점,국밥,경기 수원시 장안구 서부로2123번길 29
투썸플레이스 수원천천점,카페,경기 수원시 장안구 만석로19번길 29 부강프라자 201호
사랑해베이글 수원천천점,"카페,디저트",경기 수원시 장안구 덕영대로511번길 15 사랑해베이글 수원 천천점
담은샤브칼국수 직영1호점,"칼국수,만두",경기 수원시 장안구 화산로233번길 60 1층 정성담은샤브칼국수
비사이드 수원성대점,"카페,디저트",경기 수원시 장안구 정자로 6 비사이드
오서산콩국수 수원점,국수,경기 수원시 장안구 정자로32번길 12 1층
