id,name,address,lat,lng,category,created_at,updated_at
43,성대곱창,경기 수원시 장안구 율전로 96 1층 성대곱창,37.2979061036697,126.968853709603,"곱창,막창,양",2026-06-20,2026-06-20
44,생각나는순대국성대점,경기 수원시 장안구 서부로2126번길 38 102호,37.2976684061955,126.973660972424,"순대,순댓국",2026-06-20,2026-06-20
45,서울24시감자탕,경기 수원시 장안구 서부로 2163,37.3015258333554,126.972468320721,감자탕,2026-06-20,2026-06-20
46,보리네주먹고기,경기 수원시 장안구 율전로98번길 6-9,37.2976096274488,126.969063613639,돼지고기구이,2026-06-20,2026-06-20
47,먹심 스타필드수원점,경기 수원시 팔달구 수성로157번길 41-13 1층,37.2877741409404,126.988513573358,"육류,고기요리",2026-06-20,2026-06-20
48,KFC 수원성균관대,경기 수원시 장안구 서부로2126번길 10,37.2979293235252,126.97199107897,햄버거,2026-06-20,2026-06-20
49,개성집 구운점,경기 수원시 권선구 수인로296번길 34,37.2844959156451,126.971937532597,"해물,생선요리",2026-06-20,2026-06-20
50,봉수육,경기 수원시 장안구 율전로108번길 11 1층,37.2989636614823,126.969941000345,"족발,보쌈",2026-06-20,2026-06-20
51,탕화쿵푸마라탕 수원천천점,"경기 수원시 장안구 덕영대로535번길 28 104호, 105호",37.2969978564537,126.981815674405,마라탕,2026-06-20,2026-06-20
52,호호식당 스타필드수원,경기 수원시 장안구 수성로 175 2층 고메스트리트,37.2874453391147,126.991574559571,일식당,2026-06-20,2026-06-20
53,고기싸롱 수원구운점,경기 수원시 권선구 구운로86번길 3 1층,37.2812388880727,126.973319167912,"육류,고기요리",2026-06-20,2026-06-20
54,석암생소금구이 수원스타필드점,경기 수원시 팔달구 수성로157번길 51,37.2883417434857,126.988916308945,"육류,고기요리",2026-06-20,2026-06-20
55,국가대표회센터 성대본점,경기 수원시 장안구 서부로 2173 1층 101호,37.3022610826629,126.972483956494,생선회,2026-06-20,2026-06-20
56,두끼 천천점,경기 수원시 장안구 만석로19번길 25-6 2층 두끼떡볶이 천천점,37.2965397443129,126.982856671128,분식,2026-06-20,2026-06-20
57,바오밥나무과자점,경기 수원시 장안구 덕영대로535번길 38 로얄프라자 1층,37.2971857218212,126.982406060121,베이커리,2026-06-20,2026-06-20
58,포레스트오늘숲 수원천천점,경기 수원시 장안구 만석로5번길 6 세화프라자 1층 103호,37.2952529724236,126.982853015753,베트남음식,2026-06-20,2026-06-20
